BV1CN411o7WE	一个男人骑着自行车走下一段楼梯。
BV11D4y1S7X5	一个人正在用绳子做一个小球球。
BV11E411h7R6	两个女人正在使用红色的唇膏。
BV1jJ41117By	一个戴着水手帽的男人躺在斜板凳上训练腹肌。
BV1Hh411s7Ta	一个男人在公园锻炼。
BV12f4y1A7Q5	冬季湖中冰钓
BV1gM4y1g7AY	一个男人正在街头小吃摊做饭。
BV135411n773	一个展示如何用黄油煎蜂蜜吐司条的视频
BV15x411W7FT	一只狮子跳过深沟攀上对面的垂直断壁。
BV1C54y1D7W8	幼儿园孩子边哭边排队采血
BV17741147JG	一个男人正在示范如何系银色领带。
BV1b7411J7YT	一个人坐下来用大提琴演奏一首歌。
BV1eJ411V7vr	一只乌龟在车辆前面的地上
BV1gT4y1F7ry	一个女人在动物园里和狮子玩耍。
BV13r4y1K7e9	一个女人播报“一个3岁男孩在人群中跳舞的视频”
BV1dJ411p7gA	游泳者跳入水中。
BV1Gb4y1o7Mo	一个男人正在示范如何给另一个男人的脸化妆。
BV16K4y1Z7xc	猫的一些日常行为。
BV1dJ4113761	看到一条蛇跳出水面。
BV1Cv411A7Af	一个人正在森林里喂鹿。
BV1g54y1E7PU	一个人正在示范如何完成瓶盖穿越魔术。
BV1aK4y1g7J6	一个人在健身房锻炼时锻炼二头肌。
BV18K411L7pK	竹林中的少女。
BV1Dt411977s	两位女性军人讲解如何站军姿。
BV1f4411R7DT	一名男子被一名女性追打。
BV1hK4y1T7eR	一名男子站在一个食品摊前，指着一个标牌。
BV1fy4y1r7yA	一只虾正在锅里炸。
BV1ff4y1q7Pw	一只螃蟹夹着香烟。
BV1HK4y1p7rx	一名妇女在自家客厅的地板上做瑜伽。
BV1fx411676B	背上绑着一根棍子的乌龟
BV1h741187LP	一只棕色的兔子钻出笼子。
BV1h7411E7jC	一只大蚂蚱在一块石头旁边的地上。
BV1DD4y197U2	一位兽医将一只小狗抱在膝上。
BV1FE411W7Uy	盘子里正在煮鸡腿和米饭。
BV1hW411e7RZ	一群大猩猩一起在丛林中行走。
BV1B64y1h7Td	该男子正在与他的朋友们玩桌球游戏。
BV1hK4y1e7R6	一位女士示范如何在嘴唇上涂口红。
BV1AK4y197eQ	一位女士正在做普拉提运动，底部印有中文字样。
BV1Et411Z7kj	一个人手里拿着一张软盘。
BV15p4y1s71W	一只恐龙侧卧在博物馆里。
BV13U4y177q8	一个人正在给一头大象喂香蕉。
BV17q4y1n7mP	一群人在舞蹈课上跳舞。
BV11A411i79a	舞蹈室里一群人正在跳舞，其中一个穿着黑色裤子，另一个穿着条纹衬衫。
BV1364y1C7Sj	一个人穿着高跟鞋站在瓷砖地板上。
BV12q4y1L7oF	一名游泳者潜入水中蝶泳。
BV1Ft4y1273S	一个男人正在切菠萝。
BV1cK4y1A7th	一个男人扣篮，然后摔倒在地上。
BV1B4411u73w	用碗和火龙果表演魔术。
BV1iV411b7Rd	一个人正在做鸡蛋灌饼。
BV1g64y1D7E2	一个人正在给一个小女孩编头发。
BV1gy4y1t7Tc	一个脸上画着妆的男人在唱歌。
BV1bf4y1P795	一个穿着蓝色毛茸茸的玩偶服的人正在跳舞。
BV11p4y1s765	一个男人拆开一个礼物很震惊。
BV17f4y1C7qP	一头母牛在装满干草的围栏里用鼻子蹭着一只小猫。
BV1FJ411c7UG	一个男人在街边市场卖烤红薯。
BV1Fv411n72S	一个男人在街边小摊上正在制作一杯饮品。
BV1ht411C77b	一个男人用电钻吃玉米棒子。
BV1Gy4y1E7hJ	一只乌龟在鱼缸中爬行。
BV11T4y1E72X	一群人在床边跳舞
BV1fb411g74U	一个小男孩在滑板上骑着滑板，然后他停下来滑了起来
BV1JA411e7WX	一个穿着红白相间的和服的女孩走了过来。
BV1fk4y1C7zj	一只小海豹躺在雪地里微笑。
BV1dh411R79N	一头河马正在水池里洗澡。
BV1Ex411Z7qs	一个男人在抚摸一只白色的几维鸟。
BV1iW411z7CJ	一大群企鹅在沙滩上走来走去。
BV197411H7g2	一个人正在用紫色的笔在纸上画画。
BV1cA411A7Eu	一只黑猫正走向奶牛。
BV15A411N7Kc	一个穿着连帽衫的人正在跑道上奔跑。
BV1i54y167kA	一只水獭正在拿着蓝色水管喷水。
BV1eD4y1D7cm	一个女孩正在厨房里舔自己的胳膊，一只猫在旁边观看。
BV15x41127MX	两只猫和一只鹦鹉在客厅里互相玩耍。
BV11K411H7x8	一位女士正在厨房里做菜，盘子里放着一份炸薯条。
BV1A54y1p7xc	一只猫在用逗猫棒逗猫。
BV1h54y1R7f7	一个小女孩跑到一辆大卡车前面。
BV1gD4y1Q7fs	一个女人在和一个女人说话。
BV1B54y167Yr	一个男人在草地上跳舞。
BV1E7411w7N3	男人在展示如何用九根筷子搭一座桥
BV1FE411k7v4	兽医在给一只狗打针。
BV1bo4y1Q76g	一位女士正在示范如何搭配大衣。
BV1e7411A7AE	一个年轻人在健身房做伸展运动。
BV17g411M73v	空姐在机场表演舞蹈的视频。
BV1CM4y1u7Dj	一个男人和一个男孩坐在车里对着镜头说话。
BV1G64y1v7Kg	一个男人正在搀扶练习芭蕾舞的女孩。
BV1854y197Na	一只蜘蛛捕食蟑螂的过程。
BV1BZ4y1u7Rr	如何用马尾辫编辫子。
BV1fQ4y1A7GW	一位女士正在展示烫发的发型
BV1iB4y1F71A	一群穿着格子衫的男子走出电梯。
BV19i4y1u7QT	一个人双手支撑，双腿悬空。
BV1Cw411Z7t8	两名男子扳手腕，一名裁判在一旁观看。
BV1fv411y7pa	一个人在人行道上骑着滑板。
BV127411o754	一只小白山羊正在土路上奔跑。
BV1ci4y15757	一名男子偶遇猎豹并迅速逃跑。
BV1fK4y1a75A	养蜂人试图爬上岩石上割取蜂蜜
BV1gA411h7gX	一名男子驾车穿过城市。
BV1Fp4y1Y7iR	一只蝎子在水坑里，人把它捉住。
BV1Gp4y1z7eh	棒球被高速击出并射穿多个手套
BV1D7411a7Bn	一个女人教大家如何夹眼睫毛
BV1if4y1x7jz	孩子拉扯正在放飞的风筝
BV1GW411V7At	一名年轻女子扶起摩托车并骑走摩托车。
BV1d5411V73E	一只孔雀在草地上行走，孔雀开屏
BV1gf4y1972V	两名男子示范巴西柔术
BV1Dx411k7sc	水族馆里海豹游泳撞到玻璃
BV1Ca4y1Y7yg	一辆加装了轮子的绿色巴士正绕着汽车跑道行驶。
BV12E411T7bt	如何制作东北沙拉酱卷饼。
BV1dQ4y1Y747	一只大猩猩模仿游客的行为
BV1j7411Q7ub	婴儿在地板上跑来跑去。
BV11t411a7uo	侧面有蓝色条纹的白色火车
BV17v411j7y8	一个人在土路上骑摩托车，过一块石头。
BV16x411e7RR	一只兔子抬头看着镜头。
BV1Gg4y1B7Yo	一个戴着红帽子的婴儿正在做披萨。
BV1hh411i7f3	音乐响起时，两个男人正在用剑搏斗。
BV1Dp4y1t7LW	一锅意大利面，里面放着辣椒和龙虾尾。
BV197411d7bw	一群人在一起打羽毛球。
BV1Ba4y1h7t4	一个男人在瑜伽垫上做俯卧撑。
BV1gs411h7Wn	一只狗背对着镜头在地上走。
BV1fv411q7rd	大量炮弹击中地面。
BV11v411q7D5	一个男人正在展示如何玩悠悠球
BV18v411q7Ci	人们正在给一只海豹打针
BV1Dv411v7FZ	一个女人正在跳舞。
BV12x411x7WJ	一个人打扮成一只蜜蜂。
BV19J411R7ic	一个男人正在垫子上做腿部锻炼。
BV197411Y7xn	一个机器人出现在一家购物中心。
BV1dp4y1p7M7	一只土拨鼠躺在床上。
BV18x411J7h7	一只巨嘴鸟站在柜台上，吃着碗里的食物。
BV18C4y1H7ne	一只白兔正在吃树叶。
BV1ep4y1k7KM	一条蛇在一个容器中。
BV15b4y1o7po	有人正在用这台冰淇淋机做冰淇淋
BV1GZ4y1V7MZ	一个人打扮成动漫人物。
BV1H3411277W	两个男子在路边喝酒
BV1H54y1k7pw	一个男人正在用吹风机梳理婴儿的头发。
BV1dy4y177bY	两个行人正在过斑马线，闯红灯的汽车被特殊的装置弹开
BV1AX4y1g7XQ	一只大蜥蜴正在墙角吃一条蛇。
BV14t4y117Lx	一个男人示范如何运球。
BV1eo4y1U7d1	一个人正在演示如何洗牌。
BV16B4y1N7yL	年轻人在屋顶上做俯卧撑。
BV1JB4y1F71p	一条蛇穿过街道。
BV1HE411s7fC	如何制作美甲。
BV12K4y1d72X	啦啦队长穿着红白相间的衣服。
BV157411V7xA	一个人在篮球馆里运球。
BV11B4y1K7o7	马厩里的一匹马和一头猪，其中一头在吃干草。
BV12z411e7Ve	一只蜗牛从蛋中钻出来并啃食蛋壳
BV1i7411n7wy	一名女子穿着汉服在国外的历史遗迹愉快地走路
BV174411A7kN	荷航飞机前的一群人。
BV1ch411B7G9	展示香烟盒的近景视频
BV1eb411s7mw	猫头鹰幼崽被打扫鸟舍的扫把逼到角落。
BV1At411Z7yC	把马蜂打死并清理到塑料袋中
BV1iy4y1y7PK	一只天鹅在公园张开翅膀攻击一只狗
BV1ay4y1C7ry	一个头戴头盔的女人正在假装男朋友和另一个女人搭讪。
BV1FB4y1u7hR	一名女生正在展示如何跳绳。
BV1aQ4y1179K	一个穿着黑色靴子的人正在展示靴子。
BV12V41177Hy	一位厨师正在教如何用刀切笋。
BV1Ey4y1z7gF	一群人正在救援一个滑雪受伤的女子。
BV17f4y1X7jU	一群人站在一个大型建筑工地前观看吊塔倒塌演习。
BV1gb411N7vc	校园大道上堆积着黄色的树叶。
BV1Ag411E72T	一位女士正在展示如何将快递的玫瑰插在花瓶中。
BV17U4y1h7k9	一名足球运动员边跑边踢足球，然后踢球。
BV1h741117Fo	一个穿黑衣服的男人正在演示单脚旋风动作。
BV13b411p77B	一只手正在摸一只黑色的蝙蝠。
BV1fv411j7g1	一群人正在体育场内观看足球比赛，体育场内挤满了人。
BV18Z4y1F7Rt	一名戴着口罩的女士取了快递包裹，并试穿各种复古服饰。
BV12a4y1H7SE	消防员被叫到现场发现另一队已经在救火。
BV1gq4y1D7sc	一个成年女子和一只大猩猩隔着玻璃亲吻。
BV1AT4y1w77V	一名男子与一只老虎亲密互动。
BV1e3411r77u	人们看到海豹正在接受驯兽师的喂食。
BV13K411J7VM	女孩大喊，并跟随音乐搞笑地跳舞。
BV125411p7qA	做渐变美甲的四种方法。
BV1Ja4y1j7nu	小猪亲吻主人。
BV1CN411X7Pa	一个女人正在演示用卷发器卷发并且编发的教程。
BV1BJ411L7jc	一个年轻女孩正在展示她的卷发过程以及刚烫好的卷发。
BV17x41187rf	一个人和一只柯基小狗玩耍
BV1gy4y1L7PE	草丛中一只嘴里叼着蛇的鸭子
BV1h7411s7Az	一个人正在教练的帮助下卧推。
BV15z4y1o7Va	一只手将路上的小猴子递给了树上的大猴子。
BV1iU4y1E7hs	使用无针注射器为小孩打针。
BV15K4y177n7	厨师将配料加入油锅中，并倒入盆中。
BV1gK4y1m7vz	几段街头打斗摔跤的视频。
BV1Gx411S7ad	一个骑自行车的男人遇到一只短尾矮袋鼠，进行了互动和拍照。
BV1fZ4y1P72S	一只穿玩偶服的猫正在假装弹吉他
BV1G7411p7AP	一个男人进行倒立做俯卧撑的教学
BV1G4411A7zH	一个人在铁丝网围栏前抱着一只猫，围栏里有两只老虎。
BV1464y1e7i4	一个人用水彩画向日葵。
BV13y4y1a7yB	一个主持人向下棋的孩子介绍国际象棋世界冠军。
BV1fN411X7gZ	一只公鸡和一只母鸡正在吃一个人手中的食物。
BV1JE411G7hs	一男一女正在搬运玻璃板，被电梯门卡住后玻璃爆裂。
BV1FK4y1L7jh	一个戴着口罩的人正在骑马。
BV1FV41167DA	一个穿着黑色高跟靴子的女人正在雪地里行走。
BV1DU4y1h7RR	一个人在玩滑板过程中滑板断裂，但他继续完成了滑行。
BV145411872Y	一个人正在电脑屏幕上画一个苹果标志的图片，一个人在一幅山景图坐在船上钓鱼前。
BV1FE411T7fU	一个人正在缝合一块布料。
BV16p4y1z7mS	一名男运动员在一群观众面前跑过终点线，创造了世界纪录。
BV11W411s7fS	一只大猩猩走过一条小溪，然后走开了。
BV1GX4y137zW	一个戴着口罩的男人正在进行运球和投篮的教学。
BV15b4y1U7gD	猴妈妈双臂从后面抱住小猴，小猴吐出一个东西
BV1Jb4y1y7su	一位穿着白色连衣裙的芭蕾舞演员站在排练室里练习摆腿和转圈。
BV16V411b73N	一个男摄影师正在给一个穿着婚纱的女人在水下拍照。
BV1jE411w7Ud	一群人站在公共汽车站前，一个女子打喷嚏后人群躲避并开枪射击
BV1E54y1j7eK	一只猫正在演示西瓜的不同吃法
BV1eW411r7CE	一只仓鼠在一个人的手中吃一块柚子。
BV1cJ411w7ha	一个婴儿正在玩一条大蛇。
BV18q4y1S7BP	一个发型师正在给一个男人做发型。
BV1j4411f76J	一个吃着棒棒糖的小女孩正在学说话。
BV1dz4y1r7Kk	一个白鲸正在亲吻小女孩，然后在水中游泳。
BV1e5411h7Z8	一个小女孩在镜子前跟着音乐跳舞。
BV1754y1E7L8	一只手伸向水缸里的一只鳄龟，一个人的手抚摸着这只鳄龟的脸。
BV1b54y1U7DJ	如何用辫子编发髻。
BV1do4y117cn	两名身穿蓝色制服、胸前印有“消防部门”字样的男子拍手后进行变装。
BV1EW411C7tE	一名篮球运动员在球场上展示运球方法。
BV1gt411E7K5	海豹跳上人类的船，海里有虎鲸游动。
BV17i4y1A7yQ	一名戴着口罩的男子正在运球。
BV1Hh411h7g2	一个男生正在练习射箭。
BV154411y7vm	一个人在一块灰色的布上抚摸着一条绿色的蛇。
BV1CZ4y1p7Rw	一个年轻人正在打乒乓球。
BV11g4y1i7wS	一辆绿色的兰博基尼巴士，车头印有兰博基尼字样。
BV1DK4y1R7BJ	网友分享如何有趣的看一部烂电影。
BV1E541137Pg	用领巾给衬衫打蝴蝶结的教程
BV1HB4y1w7rf	一只被人抱着的雪貂变装的视频
BV1dJ411A7e2	网友还分享了一段他在健身房练习T杠划船的教学视频。
BV1fJ411K79r	正在切割圆柱形金属的机器
BV1jD4y1D713	一名男子在蹦极时遇到鳄鱼捕食。
BV12k4y1d7DR	一名妇女正在关闭飞机的舱门。
BV18V411H7Aa	一个男人正在墙边用手击打一大块金属。
BV12J411T7Gs	一个上面写着“mix alpha”的手机广告。
BV1F7411J7Vk	一只手正在向镜头展示汉堡。
BV1Bp4y167nL	一群男人在汽车内部唱海绵宝宝主题曲。
BV14v411x7ma	一个自动切割面包的面包机
BV16y4y1h7wE	篮球运动员跳到空中两次胯下运球后扣篮，然后降落在地板上。
BV1bQ4y1y7aL	一个女孩正在演示如何制作甜品。
BV1GK4y1b7kL	一只狗陪小女孩一起等校车。
BV1eK411F7NH	说唱歌手在舞台上表演，台下观众挥舞荧光棒。
BV1bE411T7s5	工人用金属棒吹制玻璃。
BV1Ef4y1172k	一名女子正在试穿不同的裙子。
BV1Hq4y1x7vs	一个人在品尝路边摊的槟榔。
BV1aD4y1d7nE	小熊猫正在玩自己的尾巴。
BV1BU4y1j7dR	一名男子在高空项目的桥上奔跑，旁边有游客围观。
BV1cx411k7W9	一个人站在河边的田野里射箭。
BV1GM4y1V732	一个男生正在展示他穿jk制服的样子。
BV1Ja4y1e71V	一位年轻的芭蕾舞演员在一扇大窗户前跳舞。
BV19E411h7CA	黑色背景上的复古相机。
BV13z4y1D72A	一名男子正在测评一根不会熄灭的火柴。
BV1Di4y1F7mm	一个人正在示范如何切菠萝。
BV18i4y1A72a	一个女生在镜头前展示她的化妆过程。
BV1hV41167ek	视频展示了各种扇子的头型
BV1gZ4y1V7sL	一个人剥柚子皮做成一颗心的形状。
BV15L411t7UU	一个人在草地上用手摸一条蛇。
BV19A411E73a	一名士兵在发射导弹过程中出现了事故。
BV1Ga411c7cE	消防员奋力将人拉出冰面。
BV1Af4y1L7Qn	一个男人在健身房的长凳上做卧推。
BV1EW411w7CU	一个人用手操控猫跳舞。
BV18v411q7yv	该男子在健身房做引体向上。
BV1D4411y7uc	几只老虎在游泳玩水。
BV1CB4y1N7Qc	水族箱中的小龙虾互相捕食
BV1964y1D7w1	一个人介绍了不削皮切芒果和菠萝的方法。
BV1eV41147Yp	宠物猪在草地、皮划艇、汽车内等不同场景的视频集锦。
BV12K411c7P3	一个人正在帮一个男人拆脏辫。
BV1bJ411a7Z2	一名男子在拉二胡。
BV1ET4y1L7GE	一个男人在单杠上做各种体操动作。
BV1Hb4y1d7zj	两个男人正在地板上贴瓷砖。
BV1cA411L7yT	一个男人正在投篮，而其他男人在看。
BV19v411H7JB	一个女人和一个男人在练习格斗术。
BV15x411U7qa	一只幼年袋鼠钻入袋子被一名男子抱着。
BV1Ep4y1i7DJ	一个女模特在展示如何搭配白裙子和马甲
BV1JJ411h7ZW	一名男子站在泥泞的田野中央打电话。
BV1Ft411d7m6	一头母狮带着她的幼崽走在土路上。
BV13f4y127i1	一个女人骑着摩托车在公路上行驶。
BV1hM4y1M7DB	海豹幼崽在冰上的雪地里玩耍
BV1E4411d7hT	一个人在制作木质手镯。
BV1AQ4y1m7co	一名小男孩正在接受父亲的理发。
BV1di4y1N7dr	一个男人正在操场上做引体向上。
BV19V411b7Wk	一名身穿红色法兰绒衬衫的男子正在演示如何玩纸牌戏法。
BV1bE411B7Fk	肉在煎锅中煮熟。
BV1Aa411w7jV	汽车陷在雪地里了。
BV1Bp4y1C7hu	一名男子在楼梯口做引体向上。
BV1EK4y1s7TD	一群人正在过马路，一条狗跟在他们旁边。
BV1iJ411v7NN	一名身穿黑色连帽衫的男子从墙上跳下。
BV16a4y1J7y5	一位穿着豹纹比基尼的女士走在秀台上。
BV15L411H7JG	一个年轻人卡在洗衣机里对着镜头说话。
BV1H4411b7xM	一个男孩在蹦床上跳跃和翻转。
BV1Ba4y177gs	一个小男孩和他的狗玩扫帚。
BV1ix411U7Ci	一只狗在超市挑选商品并结账
BV1eq4y1W7WL	一个人正在用他的手挖土。
BV1Gv41147Ut	一个穿红白上衣的人正在打冰球。
BV14J411A7Tu	一个女人站在滑板上说话。
BV11V411C7AL	一个人在村庄里燃放自制烟花爆竹。
BV1EV411y7oA	一个女子在展示自己的腹肌。
BV1fy4y1q7Jn	介绍刷牙步骤的教学视频
BV1cA411L7mg	一个男孩在跑道上跑步。
BV16s41127vB	一只猫正在吸奶嘴。
BV1F54y1p7SP	一个戴着草帽的女孩站在向日葵下。
BV1j7411L75U	消防员示范讲解灭火方法。
BV1Hb4y1D7CM	一个篮球被一个年轻人在体育馆里抛向空中。
BV1Cx41187Nj	这就是篮球比赛中扣篮的场景。
BV1GK4y1u7FB	街上出现了两个机器人。
BV15f4y167gr	一条狗正在被警察训练。
BV12x411p7AN	一个女人在和一只狼搏斗
BV1hb411v7Kr	普京骑马参加仪式。
BV1jb4y127m7	一个男孩在用鞋子打铁锁
BV11i4y1c7by	一只小海豹躺在雪地上叫。
BV13Z4y1G7JD	一名大学生正做引体向上。
BV1CV411Y7Mr	一只小黑狗在蓝色地毯上行走。
BV18B4y1u7Ps	一个小男孩正试图穿过人行横道。
BV13E411u7ud	一个人在健身房打沙袋
BV11y4y1q7Cg	三个人吃蛋糕。
BV1AX4y1V753	一个人正在做倒立
BV11o4y1C7R3	一个穿红色连帽衫的男人从一座高大的城堡上跳下来。
BV1Ct411J7Vw	一只鹅咬一个人的裤子。
BV1fX4y137Jv	一只公鸡站在某人的手上。
BV1cf4y197RU	一群企鹅在雪地里挤作一团，其中一只是小企鹅。
BV12U4y1n7tm	一个男人坐在地上卖坚果。
BV19w411f7XF	拍羊的屁股
BV1bf4y1V7P3	一个穿红裙子的女人骑着马。
BV1ea4y147id	新娘和新郎在空地上。
BV1fE411c7kY	一名戴着口罩的男子正在示范如何做腿部伸展运动。
BV18v411472A	一个男人用蓝色的梳子梳头，头发从密实到蓬松。
BV1cz4y11716	一只蚂蚁在植物的茎上爬行。
BV1ht4y1Q7ps	一个人利用烤箱烹饪鸡翅。
BV11q4y1N7rk	两个男人在打乒乓球，一群人在看。
BV1Ff4y1e7rt	一个小女孩正在阳台上变装。
BV1Hh411Q73H	一名妇女在森林里剥树皮并吃掉树皮。
BV17z4y1o73B	一个人正在切割一只鸡。
BV19K4y1o7Bg	一只大蜥蜴正在海里游泳。
BV1CX4y1T7sM	看着相机的小海豹的特写镜头。
BV1iD4y127bz	男人展示肌肉，并且进行健身训练
BV1hV411W7pB	一个人在调节汽车大灯的照明距离。
BV17A411F7Nk	老师在教室里展示各种特技。
BV1dt4y1m77w	一个男人在床前进行扫踢教学。
BV1dV411d7rA	一个人在用针缝东西。
BV11h411i7Pd	一个穿蓝色衬衫的男人在河边钓鱼。
BV1744y1r7W6	一个人正试图做出一字马的动作，而另一个人则试图帮助他。
BV16W411U7oC	一群企鹅在动物园里走来走去。
BV1Gx411Y7Js	一个男人举起一条河豚，然后放生。
BV1Cz411B7KT	一个男人正在田里剥西瓜。
BV12K411P7ow	一个男人正在做俯卧撑，头上顶着一只小老虎。
BV19J41127rn	一群鸭子在雪地里走路。
BV18J411q7Ds	娃娃鱼在水族箱的底部咬螺。
BV1Bi4y1K7fR	一个人在健身房里左右跳跃
BV1f4411R7bD	一个人正在床上逗猫
BV1jg411G7eo	一只鹦鹉在红色的床上喂一只兔子
BV1gx411G7V2	一男一女在练舞房跳拉丁舞
BV1DZ4y1V7MX	一名医生在地上救治一个小孩
BV1iE411r7Gy	操场上正在举行跑步比赛
BV14i4y1c7cD	一个人在做手工
BV1hb411B738	一个男人在练舞房里跳街舞。
BV1fx411f7AN	一只兔子正在被某人抚摸。
BV1ap4y1U7NM	一只熊猫在人群面前玩玩具。
BV147411c7Sy	一位女士正在展示一颗精美的粉红色钻石。
BV1dN411d7o9	一只受过伤的小狗从门口跑开。
BV1GU4y1h7pi	一名男子在煎锅中烹饪食物。
BV14t411n7fz	一群士兵正在整齐地行进。
BV1hT4y1M7nx	一个男人用杠铃做深蹲
BV11b41117kS	一名妇女站在便携式移动卫生间旁边的码头上。
BV1cz4y197mi	一个男人在健身房里在做引体向上。
BV1C54y1J76J	一个人晚上在操场上练习引体向上。
BV1a7411a7kJ	一个女人肩上扛着一只猴子。
BV18V411E72P	一些人在尝试用舌头舔下巴。
BV1dJ411P7gY	一个人喂给羊一块月饼。
BV1BT4y1c79h	晚上在野外的一群鬣狗和尼罗鳄。
BV1hz4y127v6	两名男子在操场上奔跑。
BV1ay4y1x7Au	一个女孩正抓着一只鹅。
BV1iy4y1B7ZF	一群人在观看一名男子跳高。
BV13Z4y1p74s	一名男子在路上骑自行车。
BV1h3411z72t	一个人正在展示如何用胡萝卜雕刻一只小鸟。
BV17E411T7iH	一个男人正在化妆。
BV13U4y1H76p	一名男子站在稻田前。
BV1Ek4y1179W	一名男子在购物中心推着他的婴儿。
BV15z4y1S7Zo	一名男子用斧头劈柴。
BV1bK4y1P76a	一个男人在健身房里做举重练习
BV1ai4y1E74N	一位年轻女子穿着黄色背心蓝色牛仔裤照镜子。
BV1fW411C738	一位穿着泳衣的女子跳入游泳池中。
